Complaint ID,Complaint Type,Complaint Text,Complaint Status,Complaint Resolution Time,Student ID,Student Program,Student Year,Faculty ID,Faculty Department,Predicted Complaint Type,Predicted Priority,Duplicate Flag,SLA Risk Score,Recommended Action,Anomaly Flag,Explanation
36,Marks Mismatch,My quiz marks seem incorrect in Physics.,Pending,0,STD44420,Computer Science,4th,FAC78871,Computer Science,,,False,0.0,,False,
37,Absentee Error,I was marked absent for Exam despite attending.,Resolved,13,STD85973,Computer Science,4th,FAC34460,Computer Science,,,False,0.0,,False,
38,Incorrect Calculation,There appears to be a calculation error in my GPA.,Resolved,2,STD89153,Computer Science,2nd,FAC19772,Computer Science,,,False,0.0,,False,
39,Absentee Error,I was marked absent for Exam despite attending.,In Progress,4,STD11489,Computer Science,2nd,FAC39532,Electrical Engineering,,,False,0.0,,False,
40,Absentee Error,I was marked absent for Exam despite attending.,In Progress,3,STD54464,Computer Science,4th,FAC48098,Electrical Engineering,,,False,0.0,,False,
41,Absentee Error,I was marked absent for Exam despite attending.,Resolved,4,STD48398,Mechanical Engineering,3rd,FAC54352,Business,,,False,0.0,,False,
42,Absentee Error,I was marked absent for Exam despite attending.,In Progress,4,STD52911,Mechanical Engineering,4th,FAC57142,Mechanical Engineering,,,False,0.0,,False,
43,Marks Mismatch,My final marks seem incorrect in Math.,In Progress,4,STD96233,Computer Science,3rd,FAC22508,Electrical Engineering,,,False,0.0,,False,
44,Missing Grade,My grade for Course X is missing in the portal.,Resolved,2,STD25082,Electrical Engineering,2nd,FAC87969,Computer Science,,,False,0.0,,False,
45,Absentee Error,I was marked absent for Lab despite attending.,In Progress,4,STD31245,Business,3rd,FAC92881,Computer Science,,,False,0.0,,False,
46,Marks Mismatch,My final marks seem incorrect in Chemistry.,Resolved,7,STD10418,Electrical Engineering,3rd,FAC57526,Mechanical Engineering,,,False,0.0,,False,
47,Marks Mismatch,My midterm marks seem incorrect in Physics.,Resolved,9,STD59258,Computer Science,2nd,FAC69924,Computer Science,,,False,0.0,,False,
48,Incorrect Calculation,There appears to be a calculation error in my GPA.,In Progress,4,STD88974,Mechanical Engineering,2nd,FAC67746,Mechanical Engineering,,,False,0.0,,False,
49,Absentee Error,I was marked absent for Lab despite attending.,Resolved,2,STD69317,Computer Science,4th,FAC46426,Electrical Engineering,,,False,0.0,,False,
50,Missing Grade,My grade for Course X is missing in the portal.,Pending,0,STD45555,Computer Science,2nd,FAC61801,Mechanical Engineering,,,False,0.0,,False,
51,Marks Mismatch,My final marks seem incorrect in Chemistry.,In Progress,4,STD43995,Business,1st,FAC72660,Computer Science,,,False,0.0,,False,
52,Absentee Error,I was marked absent for Lab despite attending.,Resolved,7,STD46140,Mechanical Engineering,2nd,FAC37790,Business,,,False,0.0,,False,
53,Missing Grade,My grade for Course X is missing in the portal.,Resolved,11,STD97769,Business,3rd,FAC69247,Mechanical Engineering,,,False,0.0,,False,
54,Absentee Error,I was marked absent for Lab despite attending.,Resolved,10,STD33065,Computer Science,2nd,FAC82435,Electrical Engineering,,,False,0.0,,False,
55,Marks Mismatch,My midterm marks seem incorrect in Chemistry.,Resolved,11,STD27712,Computer Science,2nd,FAC15683,Computer Science,,,False,0.0,,False,
56,Marks Mismatch,My quiz marks seem incorrect in Physics.,Pending,0,STD59813,Electrical Engineering,4th,FAC69940,Electrical Engineering,,,False,0.0,,False,
57,Marks Mismatch,My final marks seem incorrect in Math.,Resolved,4,STD28476,Computer Science,1st,FAC95783,Mechanical Engineering,,,False,0.0,,False,
58,Marks Mismatch,My final marks seem incorrect in Chemistry.,Resolved,4,STD41912,Computer Science,1st,FAC45493,Mechanical Engineering,,,False,0.0,,False,
59,Marks Mismatch,My quiz marks seem incorrect in Math.,Resolved,6,STD93049,Mechanical Engineering,4th,FAC42642,Electrical Engineering,,,False,0.0,,False,
60,Marks Mismatch,My final marks seem incorrect in Math.,Pending,0,STD36388,Electrical Engineering,2nd,FAC80425,Business,,,False,0.0,,False,
61,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,5,STD18121,Computer Science,1st,FAC17730,Mechanical Engineering,,,False,0.0,,False,
62,Marks Mismatch,My quiz marks seem incorrect in Chemistry.,Pending,0,STD16437,Electrical Engineering,2nd,FAC82225,Computer Science,,,False,0.0,,False,
63,Absentee Error,I was marked absent for Lab despite attending.,In Progress,4,STD79787,Mechanical Engineering,4th,FAC88592,Mechanical Engineering,,,False,0.0,,False,
64,Absentee Error,I was marked absent for Lab despite attending.,Resolved,8,STD52786,Computer Science,3rd,FAC68577,Business,,,False,0.0,,False,
65,Absentee Error,I was marked absent for Lab despite attending.,In Progress,3,STD43594,Computer Science,1st,FAC60964,Mechanical Engineering,,,False,0.0,,False,
66,Absentee Error,I was marked absent for Exam despite attending.,Pending,0,STD58406,Electrical Engineering,3rd,FAC97463,Mechanical Engineering,,,False,0.0,,False,
67,Absentee Error,I was marked absent for Exam despite attending.,In Progress,3,STD39661,Electrical Engineering,1st,FAC73890,Computer Science,,,False,0.0,,False,
68,Marks Mismatch,My final marks seem incorrect in Math.,Pending,0,STD56379,Computer Science,2nd,FAC51647,Mechanical Engineering,,,False,0.0,,False,
69,Absentee Error,I was marked absent for Exam despite attending.,Pending,0,STD60859,Mechanical Engineering,3rd,FAC61009,Electrical Engineering,,,False,0.0,,False,
70,Absentee Error,I was marked absent for Exam despite attending.,Pending,0,STD38179,Computer Science,2nd,FAC72187,Mechanical Engineering,,,False,0.0,,False,
71,Marks Mismatch,My midterm marks seem incorrect in Math.,Resolved,6,STD82355,Mechanical Engineering,3rd,FAC24437,Business,,,False,0.0,,False,
72,Absentee Error,I was marked absent for Exam despite attending.,In Progress,5,STD37665,Business,1st,FAC89803,Business,,,False,0.0,,False,
73,Absentee Error,I was marked absent for Lab despite attending.,Resolved,7,STD54906,Electrical Engineering,4th,FAC97293,Electrical Engineering,,,False,0.0,,False,
74,Marks Mismatch,My midterm marks seem incorrect in Physics.,Resolved,11,STD17918,Mechanical Engineering,1st,FAC37587,Computer Science,,,False,0.0,,False,
75,Marks Mismatch,My final marks seem incorrect in Math.,In Progress,6,STD50468,Computer Science,3rd,FAC21884,Mechanical Engineering,,,False,0.0,,False,
76,Absentee Error,I was marked absent for Lab despite attending.,Pending,0,STD41012,Computer Science,1st,FAC11153,Mechanical Engineering,,,False,0.0,,False,
77,Marks Mismatch,My quiz marks seem incorrect in Math.,In Progress,3,STD48632,Computer Science,1st,FAC32807,Electrical Engineering,,,False,0.0,,False,
78,Missing Grade,My grade for Course X is missing in the portal.,Pending,0,STD35387,Business,2nd,FAC96030,Business,,,False,0.0,,False,
79,Incorrect Calculation,There appears to be a calculation error in my GPA.,Resolved,3,STD82451,Computer Science,2nd,FAC44576,Mechanical Engineering,,,False,0.0,,False,
80,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,10,STD91487,Electrical Engineering,2nd,FAC40225,Mechanical Engineering,,,False,0.0,,False,
81,Absentee Error,I was marked absent for Exam despite attending.,Resolved,9,STD86821,Computer Science,1st,FAC45354,Electrical Engineering,,,False,0.0,,False,
82,Marks Mismatch,My midterm marks seem incorrect in Physics.,Resolved,2,STD87625,Electrical Engineering,1st,FAC48688,Mechanical Engineering,,,False,0.0,,False,
83,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Resolved,12,STD79211,Computer Science,1st,FAC93138,Electrical Engineering,,,False,0.0,,False,
84,Missing Grade,My grade for Course X is missing in the portal.,In Progress,3,STD36562,Mechanical Engineering,2nd,FAC44774,Business,,,False,0.0,,False,
85,Missing Grade,My grade for Course X is missing in the portal.,Pending,0,STD48126,Business,4th,FAC72355,Computer Science,,,False,0.0,,False,
86,Absentee Error,I was marked absent for Exam despite attending.,In Progress,6,STD15551,Computer Science,1st,FAC20601,Business,,,False,0.0,,False,
87,Incorrect Calculation,There appears to be a calculation error in my GPA.,Resolved,11,STD78464,Computer Science,4th,FAC47916,Business,,,False,0.0,,False,
88,Absentee Error,I was marked absent for Exam despite attending.,Pending,0,STD22523,Business,2nd,FAC62947,Computer Science,,,False,0.0,,False,
89,Absentee Error,I was marked absent for Lab despite attending.,In Progress,5,STD10853,Electrical Engineering,3rd,FAC83064,Computer Science,,,False,0.0,,False,
90,Absentee Error,I was marked absent for Lab despite attending.,Resolved,12,STD97989,Electrical Engineering,2nd,FAC41698,Mechanical Engineering,,,False,0.0,,False,
91,Missing Grade,My grade for Course X is missing in the portal.,Pending,0,STD97701,Mechanical Engineering,1st,FAC44566,Computer Science,,,False,0.0,,False,
92,Absentee Error,I was marked absent for Lab despite attending.,Pending,0,STD24196,Business,3rd,FAC14519,Business,,,False,0.0,,False,
93,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,3,STD63270,Computer Science,3rd,FAC43413,Electrical Engineering,,,False,0.0,,False,
94,Missing Grade,My grade for Course Y is missing in the portal.,Pending,0,STD31938,Electrical Engineering,4th,FAC43194,Electrical Engineering,,,False,0.0,,False,
95,Absentee Error,I was marked absent for Exam despite attending.,Pending,0,STD70704,Computer Science,1st,FAC75364,Business,,,False,0.0,,False,
96,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,9,STD16990,Electrical Engineering,1st,FAC75808,Electrical Engineering,,,False,0.0,,False,
97,Absentee Error,I was marked absent for Lab despite attending.,Resolved,2,STD54561,Computer Science,2nd,FAC94188,Computer Science,,,False,0.0,,False,
98,Marks Mismatch,My midterm marks seem incorrect in Physics.,In Progress,6,STD61663,Electrical Engineering,1st,FAC32717,Electrical Engineering,,,False,0.0,,False,
99,Missing Grade,My grade for Course X is missing in the portal.,Pending,0,STD73572,Computer Science,4th,FAC97053,Computer Science,,,False,0.0,,False,
100,Missing Grade,My grade for Course X is missing in the portal.,Resolved,3,STD70869,Electrical Engineering,2nd,FAC61428,Mechanical Engineering,,,False,0.0,,False,
101,Absentee Error,I was marked absent for Lab despite attending.,Pending,0,STD48467,Electrical Engineering,1st,FAC99473,Business,,,False,0.0,,False,
102,Marks Mismatch,My quiz marks seem incorrect in Chemistry.,Resolved,6,STD43664,Computer Science,2nd,FAC84269,Mechanical Engineering,,,False,0.0,,False,
103,Absentee Error,I was marked absent for Lab despite attending.,In Progress,5,STD43634,Computer Science,3rd,FAC76693,Business,,,False,0.0,,False,
104,Incorrect Calculation,There appears to be a calculation error in my GPA.,Resolved,1,STD26408,Computer Science,2nd,FAC76546,Computer Science,,,False,0.0,,False,
105,Marks Mismatch,My final marks seem incorrect in Physics.,In Progress,6,STD73898,Computer Science,1st,FAC47205,Business,,,False,0.0,,False,
106,Absentee Error,I was marked absent for Lab despite attending.,In Progress,5,STD87060,Computer Science,2nd,FAC44763,Computer Science,,,False,0.0,,False,
107,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Pending,0,STD85700,Business,2nd,FAC49174,Electrical Engineering,,,False,0.0,,False,
108,Marks Mismatch,My quiz marks seem incorrect in Chemistry.,Resolved,11,STD27075,Business,4th,FAC28527,Business,,,False,0.0,,False,
109,Absentee Error,I was marked absent for Exam despite attending.,Resolved,3,STD97544,Computer Science,1st,FAC37601,Business,,,False,0.0,,False,
110,Missing Grade,My grade for Course X is missing in the portal.,Resolved,13,STD80658,Electrical Engineering,4th,FAC68401,Business,,,False,0.0,,False,
111,Absentee Error,I was marked absent for Lab despite attending.,Pending,0,STD95724,Mechanical Engineering,4th,FAC35850,Computer Science,,,False,0.0,,False,
112,Marks Mismatch,My midterm marks seem incorrect in Math.,Resolved,7,STD97427,Electrical Engineering,3rd,FAC61297,Mechanical Engineering,,,False,0.0,,False,
113,Incorrect Calculation,There appears to be a calculation error in my GPA.,In Progress,6,STD28671,Computer Science,1st,FAC92462,Electrical Engineering,,,False,0.0,,False,
114,Incorrect Calculation,There appears to be a calculation error in my GPA.,Resolved,13,STD39465,Computer Science,1st,FAC78800,Computer Science,,,False,0.0,,False,
115,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,11,STD25537,Mechanical Engineering,4th,FAC41185,Business,,,False,0.0,,False,
116,Incorrect Calculation,There appears to be a calculation error in my GPA.,In Progress,5,STD89702,Computer Science,2nd,FAC77296,Computer Science,,,False,0.0,,False,
117,Missing Grade,My grade for Course X is missing in the portal.,In Progress,5,STD98443,Computer Science,4th,FAC12792,Mechanical Engineering,,,False,0.0,,False,
118,Absentee Error,I was marked absent for Exam despite attending.,Resolved,10,STD21143,Electrical Engineering,4th,FAC19539,Electrical Engineering,,,False,0.0,,False,
119,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Resolved,12,STD72974,Electrical Engineering,1st,FAC47299,Computer Science,,,False,0.0,,False,
120,Marks Mismatch,My final marks seem incorrect in Math.,Pending,0,STD94966,Mechanical Engineering,1st,FAC66509,Computer Science,,,False,0.0,,False,
121,Absentee Error,I was marked absent for Lab despite attending.,Resolved,1,STD10426,Computer Science,4th,FAC57873,Business,,,False,0.0,,False,
122,Missing Grade,My grade for Course Y is missing in the portal.,Pending,0,STD43426,Computer Science,1st,FAC72186,Computer Science,,,False,0.0,,False,
123,Marks Mismatch,My midterm marks seem incorrect in Chemistry.,Pending,0,STD82156,Electrical Engineering,1st,FAC39693,Business,,,False,0.0,,False,
124,Marks Mismatch,My final marks seem incorrect in Math.,In Progress,6,STD32564,Business,2nd,FAC19918,Electrical Engineering,,,False,0.0,,False,
125,Missing Grade,My grade for Course X is missing in the portal.,Resolved,3,STD66731,Electrical Engineering,2nd,FAC47204,Electrical Engineering,,,False,0.0,,False,
126,Absentee Error,I was marked absent for Exam despite attending.,Pending,0,STD55274,Computer Science,1st,FAC30300,Computer Science,,,False,0.0,,False,
127,Missing Grade,My grade for Course X is missing in the portal.,Resolved,12,STD95705,Electrical Engineering,3rd,FAC17812,Mechanical Engineering,,,False,0.0,,False,
128,Marks Mismatch,My final marks seem incorrect in Chemistry.,Pending,0,STD19185,Mechanical Engineering,2nd,FAC96488,Electrical Engineering,,,False,0.0,,False,
129,Absentee Error,I was marked absent for Lab despite attending.,Resolved,3,STD84566,Electrical Engineering,4th,FAC10481,Mechanical Engineering,,,False,0.0,,False,
130,Missing Grade,My grade for Course X is missing in the portal.,Resolved,8,STD15444,Mechanical Engineering,3rd,FAC33580,Business,,,False,0.0,,False,
131,Absentee Error,I was marked absent for Exam despite attending.,Resolved,6,STD91100,Electrical Engineering,2nd,FAC23068,Mechanical Engineering,,,False,0.0,,False,
132,Marks Mismatch,My midterm marks seem incorrect in Physics.,Resolved,11,STD58380,Electrical Engineering,4th,FAC11920,Business,,,False,0.0,,False,
133,Incorrect Calculation,There appears to be a calculation error in my GPA.,In Progress,3,STD16835,Mechanical Engineering,3rd,FAC74085,Computer Science,,,False,0.0,,False,
134,Incorrect Calculation,There appears to be a calculation error in my GPA.,Resolved,11,STD20520,Business,4th,FAC91856,Electrical Engineering,,,False,0.0,,False,
135,Absentee Error,I was marked absent for Exam despite attending.,Resolved,3,STD67173,Computer Science,1st,FAC29800,Electrical Engineering,,,False,0.0,,False,
136,Missing Grade,My grade for Course Y is missing in the portal.,Pending,0,STD31866,Electrical Engineering,2nd,FAC37866,Business,,,False,0.0,,False,
137,Missing Grade,My grade for Course X is missing in the portal.,Pending,0,STD94763,Mechanical Engineering,2nd,FAC40789,Computer Science,,,False,0.0,,False,
138,Absentee Error,I was marked absent for Exam despite attending.,In Progress,6,STD87337,Electrical Engineering,2nd,FAC51514,Computer Science,,,False,0.0,,False,
139,Marks Mismatch,My midterm marks seem incorrect in Math.,Pending,0,STD26328,Computer Science,2nd,FAC79920,Computer Science,,,False,0.0,,False,
140,Absentee Error,I was marked absent for Lab despite attending.,Resolved,9,STD93579,Computer Science,1st,FAC47669,Mechanical Engineering,,,False,0.0,,False,
141,Absentee Error,I was marked absent for Exam despite attending.,Pending,0,STD81966,Mechanical Engineering,4th,FAC16499,Electrical Engineering,,,False,0.0,,False,
142,Missing Grade,My grade for Course X is missing in the portal.,Pending,0,STD31824,Computer Science,3rd,FAC14440,Business,,,False,0.0,,False,
143,Marks Mismatch,My quiz marks seem incorrect in Physics.,Resolved,2,STD77198,Mechanical Engineering,3rd,FAC97537,Mechanical Engineering,,,False,0.0,,False,
144,Marks Mismatch,My final marks seem incorrect in Physics.,Pending,0,STD61159,Computer Science,1st,FAC41000,Electrical Engineering,,,False,0.0,,False,
145,Absentee Error,I was marked absent for Exam despite attending.,Pending,0,STD75349,Mechanical Engineering,1st,FAC13732,Electrical Engineering,,,False,0.0,,False,
146,Absentee Error,I was marked absent for Exam despite attending.,Resolved,6,STD48877,Computer Science,3rd,FAC79382,Computer Science,,,False,0.0,,False,
147,Marks Mismatch,My final marks seem incorrect in Physics.,In Progress,5,STD41746,Mechanical Engineering,3rd,FAC79942,Computer Science,,,False,0.0,,False,
148,Absentee Error,I was marked absent for Exam despite attending.,In Progress,6,STD35377,Computer Science,1st,FAC80675,Computer Science,,,False,0.0,,False,
149,Absentee Error,I was marked absent for Lab despite attending.,Resolved,8,STD37036,Mechanical Engineering,4th,FAC77955,Mechanical Engineering,,,False,0.0,,False,
150,Marks Mismatch,My quiz marks seem incorrect in Chemistry.,Pending,0,STD72228,Business,3rd,FAC58462,Business,,,False,0.0,,False,
151,Absentee Error,I was marked absent for Lab despite attending.,Resolved,6,STD65669,Computer Science,4th,FAC50129,Mechanical Engineering,,,False,0.0,,False,
152,Marks Mismatch,My final marks seem incorrect in Physics.,Resolved,5,STD90116,Mechanical Engineering,1st,FAC15302,Electrical Engineering,,,False,0.0,,False,
153,Marks Mismatch,My final marks seem incorrect in Physics.,Resolved,8,STD67428,Computer Science,1st,FAC21498,Business,,,False,0.0,,False,
154,Missing Grade,My grade for Course X is missing in the portal.,Resolved,9,STD78051,Mechanical Engineering,3rd,FAC54797,Computer Science,,,False,0.0,,False,
155,Absentee Error,I was marked absent for Lab despite attending.,Resolved,4,STD71565,Electrical Engineering,4th,FAC29820,Computer Science,,,False,0.0,,False,
156,Marks Mismatch,My final marks seem incorrect in Math.,Resolved,10,STD91165,Mechanical Engineering,2nd,FAC81048,Electrical Engineering,,,False,0.0,,False,
157,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,5,STD85246,Computer Science,2nd,FAC87506,Electrical Engineering,,,False,0.0,,False,
158,Marks Mismatch,My midterm marks seem incorrect in Physics.,In Progress,5,STD91358,Business,2nd,FAC63012,Computer Science,,,False,0.0,,False,
159,Absentee Error,I was marked absent for Exam despite attending.,In Progress,3,STD17652,Computer Science,4th,FAC99526,Mechanical Engineering,,,False,0.0,,False,
160,Marks Mismatch,My quiz marks seem incorrect in Chemistry.,In Progress,3,STD57801,Electrical Engineering,3rd,FAC24433,Mechanical Engineering,,,False,0.0,,False,
161,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Pending,0,STD71326,Electrical Engineering,4th,FAC16121,Electrical Engineering,,,False,0.0,,False,
162,Marks Mismatch,My final marks seem incorrect in Physics.,Pending,0,STD89814,Computer Science,1st,FAC17152,Mechanical Engineering,,,False,0.0,,False,
163,Marks Mismatch,My quiz marks seem incorrect in Math.,Pending,0,STD87556,Computer Science,3rd,FAC88418,Mechanical Engineering,,,False,0.0,,False,
164,Incorrect Calculation,There appears to be a calculation error in my GPA.,In Progress,4,STD97967,Computer Science,3rd,FAC94163,Business,,,False,0.0,,False,
165,Absentee Error,I was marked absent for Lab despite attending.,Pending,0,STD89286,Electrical Engineering,4th,FAC94752,Electrical Engineering,,,False,0.0,,False,
166,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Pending,0,STD76091,Computer Science,1st,FAC87007,Business,,,False,0.0,,False,
167,Missing Grade,My grade for Course X is missing in the portal.,Resolved,9,STD79042,Mechanical Engineering,4th,FAC72964,Computer Science,,,False,0.0,,False,
168,Absentee Error,I was marked absent for Exam despite attending.,Resolved,12,STD62707,Electrical Engineering,4th,FAC61766,Electrical Engineering,,,False,0.0,,False,
169,Marks Mismatch,My midterm marks seem incorrect in Math.,In Progress,3,STD99784,Mechanical Engineering,4th,FAC51676,Business,,,False,0.0,,False,
170,Absentee Error,I was marked absent for Lab despite attending.,Resolved,7,STD46201,Mechanical Engineering,2nd,FAC18269,Computer Science,,,False,0.0,,False,
171,Marks Mismatch,My final marks seem incorrect in Physics.,Resolved,3,STD82822,Computer Science,3rd,FAC18435,Computer Science,,,False,0.0,,False,
172,Absentee Error,I was marked absent for Exam despite attending.,Pending,0,STD50939,Computer Science,1st,FAC58212,Business,,,False,0.0,,False,
173,Absentee Error,I was marked absent for Exam despite attending.,Resolved,11,STD53578,Electrical Engineering,2nd,FAC43557,Mechanical Engineering,,,False,0.0,,False,
174,Absentee Error,I was marked absent for Lab despite attending.,In Progress,3,STD25338,Electrical Engineering,1st,FAC89925,Business,,,False,0.0,,False,
175,Marks Mismatch,My final marks seem incorrect in Physics.,Pending,0,STD27096,Electrical Engineering,2nd,FAC10395,Business,,,False,0.0,,False,
176,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,7,STD96644,Computer Science,3rd,FAC25099,Electrical Engineering,,,False,0.0,,False,
177,Absentee Error,I was marked absent for Lab despite attending.,In Progress,4,STD62626,Mechanical Engineering,1st,FAC37759,Computer Science,,,False,0.0,,False,
178,Absentee Error,I was marked absent for Lab despite attending.,Pending,0,STD68915,Electrical Engineering,3rd,FAC21939,Computer Science,,,False,0.0,,False,
179,Absentee Error,I was marked absent for Exam despite attending.,Pending,0,STD72398,Computer Science,2nd,FAC19543,Electrical Engineering,,,False,0.0,,False,
180,Missing Grade,My grade for Course X is missing in the portal.,In Progress,6,STD83798,Business,1st,FAC62997,Electrical Engineering,,,False,0.0,,False,
181,Marks Mismatch,My quiz marks seem incorrect in Math.,Resolved,1,STD97977,Business,1st,FAC14496,Computer Science,,,False,0.0,,False,
182,Missing Grade,My grade for Course X is missing in the portal.,Resolved,1,STD15182,Computer Science,4th,FAC80815,Mechanical Engineering,,,False,0.0,,False,
183,Missing Grade,My grade for Course X is missing in the portal.,In Progress,3,STD86563,Computer Science,2nd,FAC22236,Electrical Engineering,,,False,0.0,,False,
184,Absentee Error,I was marked absent for Exam despite attending.,In Progress,5,STD28536,Business,2nd,FAC52074,Electrical Engineering,,,False,0.0,,False,
185,Absentee Error,I was marked absent for Exam despite attending.,Resolved,4,STD38403,Mechanical Engineering,4th,FAC60910,Computer Science,,,False,0.0,,False,
