Complaint ID,Complaint Type,Complaint Text,Complaint Status,Complaint Resolution Time,Student ID,Student Program,Student Year,Faculty ID,Faculty Department,Predicted Complaint Type,Predicted Priority,Duplicate Flag,SLA Risk Score,Recommended Action,Anomaly Flag,Explanation,Resolution Description,Faculty Response Time,Student Satisfaction Score
23,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,13,STD82505,Computer Science,3rd,FAC30932,Business,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,2,1
24,Missing Grade,My grade for Course X is missing in the portal.,Resolved,6,STD54965,Electrical Engineering,1st,FAC71646,Electrical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,1,1
27,Marks Mismatch,My midterm marks seem incorrect in Physics.,Resolved,12,STD41667,Computer Science,1st,FAC68675,Business,,,False,0.0,,False,,Adjusted marks after verification with attendance records,6,1
28,Absentee Error,I was marked absent for Exam despite attending.,Resolved,4,STD33390,Computer Science,3rd,FAC14980,Electrical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,3,2
29,Absentee Error,I was marked absent for Exam despite attending.,Resolved,6,STD72676,Computer Science,4th,FAC31825,Electrical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,5,2
30,Incorrect Calculation,There appears to be a calculation error in my GPA.,Resolved,10,STD36568,Electrical Engineering,1st,FAC12658,Electrical Engineering,,,False,0.0,,False,,Recalculated GPA/CGPA and corrected the error.,4,2
33,Absentee Error,I was marked absent for Exam despite attending.,Resolved,3,STD98153,Mechanical Engineering,4th,FAC44492,Computer Science,,,False,0.0,,False,,Verified attendance records and updated status.,3,4
34,Absentee Error,I was marked absent for Lab despite attending.,Resolved,2,STD33012,Computer Science,3rd,FAC55225,Business,,,False,0.0,,False,,Verified attendance records and updated status.,3,2
37,Absentee Error,I was marked absent for Lab despite attending.,Resolved,1,STD10299,Business,3rd,FAC28887,Computer Science,,,False,0.0,,False,,Verified attendance records and updated status.,4,4
38,Absentee Error,I was marked absent for Exam despite attending.,Resolved,8,STD50955,Business,3rd,FAC61550,Electrical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,3,2
39,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,1,STD94661,Electrical Engineering,1st,FAC40925,Mechanical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,4,3
40,Missing Grade,My grade for Course X is missing in the portal.,Resolved,5,STD92124,Mechanical Engineering,3rd,FAC63267,Computer Science,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,2,1
41,Marks Mismatch,My midterm marks seem incorrect in Chemistry.,Resolved,4,STD59143,Electrical Engineering,3rd,FAC38710,Business,,,False,0.0,,False,,Adjusted marks after verification with attendance records,6,4
42,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,2,STD80699,Computer Science,4th,FAC44092,Computer Science,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,6,5
43,Absentee Error,I was marked absent for Lab despite attending.,Resolved,6,STD96405,Electrical Engineering,4th,FAC55024,Computer Science,,,False,0.0,,False,,Verified attendance records and updated status.,5,5
49,Missing Grade,My grade for Course X is missing in the portal.,Resolved,8,STD94877,Computer Science,1st,FAC51886,Computer Science,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,5,2
52,Marks Mismatch,My final marks seem incorrect in Math.,Resolved,7,STD82790,Business,2nd,FAC86751,Computer Science,,,False,0.0,,False,,Adjusted marks after verification with attendance records,6,1
54,Marks Mismatch,My midterm marks seem incorrect in Math.,Resolved,4,STD49444,Mechanical Engineering,3rd,FAC96278,Computer Science,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,1,2
57,Marks Mismatch,My final marks seem incorrect in Chemistry.,Resolved,11,STD73988,Electrical Engineering,4th,FAC20717,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,2,1
58,Missing Grade,My grade for Course X is missing in the portal.,Resolved,6,STD14064,Computer Science,3rd,FAC39864,Mechanical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,6,5
60,Missing Grade,My grade for Course X is missing in the portal.,Resolved,13,STD50323,Computer Science,1st,FAC14263,Mechanical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,1,3
63,Marks Mismatch,My final marks seem incorrect in Chemistry.,Resolved,5,STD59050,Electrical Engineering,3rd,FAC22772,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,4,3
66,Marks Mismatch,My midterm marks seem incorrect in Physics.,Resolved,3,STD79212,Mechanical Engineering,1st,FAC45492,Business,,,False,0.0,,False,,Adjusted marks after verification with attendance records,2,1
67,Missing Grade,My grade for Course X is missing in the portal.,Resolved,1,STD13644,Computer Science,3rd,FAC40414,Electrical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,3,5
68,Absentee Error,I was marked absent for Exam despite attending.,Resolved,10,STD35537,Computer Science,4th,FAC87649,Electrical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,4,1
70,Absentee Error,I was marked absent for Lab despite attending.,Resolved,10,STD43193,Mechanical Engineering,1st,FAC78439,Electrical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,2,1
73,Marks Mismatch,My quiz marks seem incorrect in Chemistry.,Resolved,10,STD44630,Electrical Engineering,3rd,FAC11946,Computer Science,,,False,0.0,,False,,Adjusted marks after verification with attendance records,6,4
75,Absentee Error,I was marked absent for Lab despite attending.,Resolved,5,STD95387,Mechanical Engineering,1st,FAC61596,Mechanical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,3,3
76,Missing Grade,My grade for Course X is missing in the portal.,Resolved,11,STD24862,Mechanical Engineering,3rd,FAC62554,Mechanical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,4,2
78,Missing Grade,My grade for Course X is missing in the portal.,Resolved,7,STD96822,Computer Science,2nd,FAC41282,Business,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,2,4
80,Marks Mismatch,My midterm marks seem incorrect in Math.,Resolved,13,STD72172,Mechanical Engineering,2nd,FAC95158,Business,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,1,1
84,Marks Mismatch,My final marks seem incorrect in Chemistry.,Resolved,4,STD20754,Computer Science,1st,FAC53057,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,4,1
86,Missing Grade,My grade for Course X is missing in the portal.,Resolved,9,STD41436,Computer Science,1st,FAC19393,Electrical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,3,3
91,Marks Mismatch,My midterm marks seem incorrect in Chemistry.,Resolved,6,STD95412,Mechanical Engineering,3rd,FAC93607,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,2,1
94,Absentee Error,I was marked absent for Exam despite attending.,Resolved,2,STD35853,Electrical Engineering,4th,FAC26204,Mechanical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,5,4
95,Marks Mismatch,My quiz marks seem incorrect in Physics.,Resolved,6,STD36723,Computer Science,1st,FAC88387,Business,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,6,2
97,Marks Mismatch,My quiz marks seem incorrect in Chemistry.,Resolved,8,STD96732,Computer Science,2nd,FAC93029,Business,,,False,0.0,,False,,Adjusted marks after verification with attendance records,1,5
98,Marks Mismatch,My quiz marks seem incorrect in Physics.,Resolved,9,STD92329,Computer Science,3rd,FAC12065,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,4,1
102,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Resolved,5,STD20053,Mechanical Engineering,1st,FAC86607,Electrical Engineering,,,False,0.0,,False,,Recalculated GPA/CGPA and corrected the error.,1,4
104,Marks Mismatch,My midterm marks seem incorrect in Chemistry.,Resolved,9,STD82555,Computer Science,1st,FAC88743,Computer Science,,,False,0.0,,False,,Adjusted marks after verification with attendance records,1,4
107,Absentee Error,I was marked absent for Lab despite attending.,Resolved,13,STD46865,Electrical Engineering,3rd,FAC96712,Mechanical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,3,1
108,Absentee Error,I was marked absent for Exam despite attending.,Resolved,4,STD74178,Mechanical Engineering,2nd,FAC21885,Mechanical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,6,5
110,Marks Mismatch,My quiz marks seem incorrect in Math.,Resolved,12,STD42509,Computer Science,2nd,FAC33440,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,5,4
113,Marks Mismatch,My quiz marks seem incorrect in Math.,Resolved,11,STD14088,Mechanical Engineering,2nd,FAC25554,Computer Science,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,4,3
114,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Resolved,4,STD32051,Mechanical Engineering,3rd,FAC11586,Mechanical Engineering,,,False,0.0,,False,,Recalculated GPA/CGPA and corrected the error.,4,3
115,Absentee Error,I was marked absent for Lab despite attending.,Resolved,3,STD27720,Computer Science,3rd,FAC37990,Electrical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,3,3
120,Marks Mismatch,My midterm marks seem incorrect in Physics.,Resolved,6,STD83407,Computer Science,4th,FAC34081,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,1,2
121,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Resolved,11,STD24048,Computer Science,3rd,FAC68734,Electrical Engineering,,,False,0.0,,False,,Recalculated GPA/CGPA and corrected the error.,2,1
123,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,12,STD85782,Electrical Engineering,3rd,FAC51515,Electrical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,1,5
124,Marks Mismatch,My midterm marks seem incorrect in Math.,Resolved,12,STD97665,Computer Science,1st,FAC29685,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,5,2
126,Incorrect Calculation,There appears to be a calculation error in my GPA.,Resolved,1,STD10362,Mechanical Engineering,3rd,FAC72595,Computer Science,,,False,0.0,,False,,Recalculated GPA/CGPA and corrected the error.,2,2
132,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,9,STD25871,Electrical Engineering,2nd,FAC45755,Business,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,2,1
140,Absentee Error,I was marked absent for Exam despite attending.,Resolved,11,STD13805,Mechanical Engineering,4th,FAC76953,Business,,,False,0.0,,False,,Verified attendance records and updated status.,1,5
143,Marks Mismatch,My quiz marks seem incorrect in Math.,Resolved,7,STD28815,Computer Science,3rd,FAC37640,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,5,3
146,Missing Grade,My grade for Course X is missing in the portal.,Resolved,4,STD61829,Computer Science,3rd,FAC91794,Business,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,5,1
147,Missing Grade,My grade for Course X is missing in the portal.,Resolved,7,STD31524,Mechanical Engineering,3rd,FAC55730,Electrical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,1,1
152,Marks Mismatch,My final marks seem incorrect in Math.,Resolved,1,STD93373,Electrical Engineering,3rd,FAC55129,Computer Science,,,False,0.0,,False,,Adjusted marks after verification with attendance records,3,3
153,Incorrect Calculation,There appears to be a calculation error in my GPA.,Resolved,9,STD46594,Computer Science,4th,FAC59014,Computer Science,,,False,0.0,,False,,Recalculated GPA/CGPA and corrected the error.,5,4
154,Missing Grade,My grade for Course X is missing in the portal.,Resolved,13,STD73903,Electrical Engineering,2nd,FAC50637,Business,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,4,4
155,Missing Grade,My grade for Course X is missing in the portal.,Resolved,12,STD75650,Electrical Engineering,3rd,FAC22263,Business,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,6,2
164,Absentee Error,I was marked absent for Lab despite attending.,Resolved,3,STD17198,Computer Science,2nd,FAC72878,Mechanical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,2,3
165,Marks Mismatch,My quiz marks seem incorrect in Math.,Resolved,10,STD92788,Computer Science,1st,FAC12094,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,5,4
170,Marks Mismatch,My final marks seem incorrect in Physics.,Resolved,2,STD92749,Computer Science,3rd,FAC88229,Computer Science,,,False,0.0,,False,,Adjusted marks after verification with attendance records,1,1
172,Marks Mismatch,My midterm marks seem incorrect in Chemistry.,Resolved,3,STD67135,Computer Science,4th,FAC55003,Business,,,False,0.0,,False,,Adjusted marks after verification with attendance records,4,4
174,Marks Mismatch,My quiz marks seem incorrect in Chemistry.,Resolved,1,STD85397,Computer Science,4th,FAC72434,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,3,1
176,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,5,STD71220,Computer Science,1st,FAC79653,Mechanical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,1,5
178,Marks Mismatch,My quiz marks seem incorrect in Physics.,Resolved,5,STD46666,Computer Science,2nd,FAC36223,Business,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,6,1
179,Marks Mismatch,My final marks seem incorrect in Chemistry.,Resolved,6,STD35732,Computer Science,4th,FAC13905,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,1,4
180,Marks Mismatch,My final marks seem incorrect in Physics.,Resolved,13,STD63394,Computer Science,3rd,FAC19547,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,1,3
181,Marks Mismatch,My final marks seem incorrect in Physics.,Resolved,3,STD40922,Electrical Engineering,4th,FAC70900,Business,,,False,0.0,,False,,Adjusted marks after verification with attendance records,3,5
182,Absentee Error,I was marked absent for Exam despite attending.,Resolved,3,STD95683,Mechanical Engineering,3rd,FAC51398,Computer Science,,,False,0.0,,False,,Verified attendance records and updated status.,6,5
183,Marks Mismatch,My final marks seem incorrect in Math.,Resolved,3,STD38174,Mechanical Engineering,1st,FAC80736,Business,,,False,0.0,,False,,Adjusted marks after verification with attendance records,2,4
191,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Resolved,2,STD81327,Mechanical Engineering,2nd,FAC75506,Business,,,False,0.0,,False,,Recalculated GPA/CGPA and corrected the error.,4,3
192,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,12,STD23910,Computer Science,2nd,FAC67836,Electrical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,1,1
195,Marks Mismatch,My final marks seem incorrect in Math.,Resolved,3,STD10243,Electrical Engineering,2nd,FAC49331,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,4,4
197,Marks Mismatch,My midterm marks seem incorrect in Math.,Resolved,2,STD92557,Computer Science,4th,FAC46367,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,1,3
198,Absentee Error,I was marked absent for Lab despite attending.,Resolved,9,STD42553,Electrical Engineering,4th,FAC71271,Mechanical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,5,2
200,Absentee Error,I was marked absent for Exam despite attending.,Resolved,7,STD32603,Business,1st,FAC41985,Mechanical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,3,3
201,Marks Mismatch,My final marks seem incorrect in Physics.,Resolved,11,STD33533,Electrical Engineering,2nd,FAC85584,Business,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,2,2
203,Marks Mismatch,My quiz marks seem incorrect in Math.,Resolved,6,STD58981,Computer Science,2nd,FAC78299,Business,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,2,3
207,Absentee Error,I was marked absent for Lab despite attending.,Resolved,2,STD73030,Electrical Engineering,4th,FAC75025,Mechanical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,2,2
208,Missing Grade,My grade for Course X is missing in the portal.,Resolved,13,STD24492,Computer Science,2nd,FAC62226,Business,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,1,3
214,Missing Grade,My grade for Course X is missing in the portal.,Resolved,5,STD69063,Computer Science,4th,FAC46935,Mechanical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,6,3
215,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,10,STD65589,Computer Science,1st,FAC50225,Computer Science,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,4,3
216,Marks Mismatch,My quiz marks seem incorrect in Chemistry.,Resolved,6,STD13825,Mechanical Engineering,2nd,FAC84953,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,2,2
218,Absentee Error,I was marked absent for Exam despite attending.,Resolved,12,STD51282,Computer Science,4th,FAC33436,Business,,,False,0.0,,False,,Verified attendance records and updated status.,5,3
219,Marks Mismatch,My midterm marks seem incorrect in Math.,Resolved,6,STD35389,Electrical Engineering,4th,FAC59404,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,6,2
220,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,3,STD27192,Electrical Engineering,3rd,FAC56891,Electrical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,1,4
222,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,7,STD31381,Computer Science,3rd,FAC81806,Mechanical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,2,5
227,Marks Mismatch,My midterm marks seem incorrect in Math.,Resolved,7,STD62522,Electrical Engineering,2nd,FAC65121,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,3,2
229,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Resolved,11,STD24459,Computer Science,4th,FAC41493,Mechanical Engineering,,,False,0.0,,False,,Recalculated GPA/CGPA and corrected the error.,2,3
230,Marks Mismatch,My quiz marks seem incorrect in Physics.,Resolved,9,STD18073,Mechanical Engineering,1st,FAC88702,Business,,,False,0.0,,False,,Adjusted marks after verification with attendance records,4,3
233,Marks Mismatch,My midterm marks seem incorrect in Math.,Resolved,6,STD36365,Computer Science,4th,FAC44156,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,5,2
234,Marks Mismatch,My midterm marks seem incorrect in Chemistry.,Resolved,13,STD52562,Computer Science,1st,FAC21251,Computer Science,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,6,4
236,Absentee Error,I was marked absent for Lab despite attending.,Resolved,13,STD22535,Electrical Engineering,3rd,FAC90198,Electrical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,6,2
239,Marks Mismatch,My final marks seem incorrect in Chemistry.,Resolved,12,STD67049,Computer Science,3rd,FAC96786,Business,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,1,4
241,Missing Grade,My grade for Course X is missing in the portal.,Resolved,8,STD80765,Computer Science,2nd,FAC21600,Electrical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,5,4
245,Absentee Error,I was marked absent for Lab despite attending.,Resolved,12,STD76042,Mechanical Engineering,3rd,FAC31354,Business,,,False,0.0,,False,,Verified attendance records and updated status.,2,1
246,Marks Mismatch,My midterm marks seem incorrect in Physics.,Resolved,4,STD59988,Business,3rd,FAC58675,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,1,2
249,Marks Mismatch,My final marks seem incorrect in Physics.,Resolved,5,STD48000,Mechanical Engineering,4th,FAC27752,Business,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,5,3
250,Marks Mismatch,My midterm marks seem incorrect in Physics.,Resolved,3,STD20023,Electrical Engineering,3rd,FAC30885,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,3,1
251,Marks Mismatch,My quiz marks seem incorrect in Physics.,Resolved,11,STD62290,Electrical Engineering,4th,FAC14877,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,1,3
252,Marks Mismatch,My midterm marks seem incorrect in Math.,Resolved,10,STD58932,Computer Science,4th,FAC82346,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,1,5
253,Marks Mismatch,My final marks seem incorrect in Chemistry.,Resolved,2,STD47251,Electrical Engineering,1st,FAC30247,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,4,5
254,Marks Mismatch,My midterm marks seem incorrect in Math.,Resolved,9,STD42547,Electrical Engineering,2nd,FAC44313,Business,,,False,0.0,,False,,Adjusted marks after verification with attendance records,3,2
256,Missing Grade,My grade for Course X is missing in the portal.,Resolved,12,STD20452,Electrical Engineering,2nd,FAC60388,Mechanical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,5,2
259,Marks Mismatch,My quiz marks seem incorrect in Math.,Resolved,4,STD26906,Electrical Engineering,3rd,FAC34013,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,6,3
261,Marks Mismatch,My final marks seem incorrect in Chemistry.,Resolved,13,STD17741,Mechanical Engineering,2nd,FAC39727,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,5,5
264,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,9,STD82546,Mechanical Engineering,1st,FAC66144,Electrical Engineering,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,5,4
265,Absentee Error,I was marked absent for Exam despite attending.,Resolved,4,STD68671,Business,1st,FAC63055,Electrical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,6,3
267,Marks Mismatch,My quiz marks seem incorrect in Math.,Resolved,5,STD91036,Electrical Engineering,4th,FAC88518,Business,,,False,0.0,,False,,Adjusted marks after verification with attendance records,2,2
268,Absentee Error,I was marked absent for Exam despite attending.,Resolved,8,STD51690,Computer Science,2nd,FAC78483,Mechanical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,3,5
270,Absentee Error,I was marked absent for Exam despite attending.,Resolved,12,STD52332,Mechanical Engineering,2nd,FAC57928,Electrical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,6,2
279,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Resolved,11,STD24062,Electrical Engineering,4th,FAC16720,Computer Science,,,False,0.0,,False,,Recalculated GPA/CGPA and corrected the error.,2,3
280,Absentee Error,I was marked absent for Exam despite attending.,Resolved,4,STD71448,Computer Science,2nd,FAC73886,Business,,,False,0.0,,False,,Verified attendance records and updated status.,6,4
282,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Resolved,10,STD47216,Electrical Engineering,4th,FAC82530,Electrical Engineering,,,False,0.0,,False,,Recalculated GPA/CGPA and corrected the error.,2,2
285,Marks Mismatch,My quiz marks seem incorrect in Math.,Resolved,8,STD40661,Computer Science,1st,FAC90792,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,3,1
286,Marks Mismatch,My midterm marks seem incorrect in Math.,Resolved,10,STD91746,Computer Science,3rd,FAC49513,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,4,1
287,Marks Mismatch,My quiz marks seem incorrect in Physics.,Resolved,7,STD54009,Computer Science,2nd,FAC56592,Computer Science,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,3,5
294,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Resolved,10,STD40152,Business,3rd,FAC47901,Business,,,False,0.0,,False,,Recalculated GPA/CGPA and corrected the error.,4,1
295,Marks Mismatch,My final marks seem incorrect in Physics.,Resolved,5,STD57248,Computer Science,4th,FAC80186,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,5,4
297,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,7,STD47605,Computer Science,1st,FAC79593,Computer Science,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,3,3
299,Absentee Error,I was marked absent for Exam despite attending.,Resolved,13,STD78988,Electrical Engineering,3rd,FAC64813,Computer Science,,,False,0.0,,False,,Verified attendance records and updated status.,3,5
301,Absentee Error,I was marked absent for Lab despite attending.,Resolved,1,STD11546,Computer Science,3rd,FAC20003,Mechanical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,3,5
305,Marks Mismatch,My quiz marks seem incorrect in Chemistry.,Resolved,4,STD25245,Electrical Engineering,4th,FAC93279,Computer Science,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,6,4
306,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Resolved,12,STD29165,Electrical Engineering,3rd,FAC14355,Electrical Engineering,,,False,0.0,,False,,Recalculated GPA/CGPA and corrected the error.,3,4
308,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,8,STD75298,Mechanical Engineering,1st,FAC84043,Business,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,1,1
309,Marks Mismatch,My midterm marks seem incorrect in Chemistry.,Resolved,3,STD22216,Mechanical Engineering,3rd,FAC62214,Computer Science,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,4,1
310,Marks Mismatch,My final marks seem incorrect in Chemistry.,Resolved,10,STD95072,Electrical Engineering,4th,FAC62032,Business,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,3,1
314,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Resolved,2,STD15964,Computer Science,3rd,FAC21113,Computer Science,,,False,0.0,,False,,Recalculated GPA/CGPA and corrected the error.,2,5
315,Marks Mismatch,My final marks seem incorrect in Physics.,Resolved,5,STD78138,Computer Science,2nd,FAC92042,Computer Science,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,4,2
316,Incorrect Calculation,There appears to be a calculation error in my GPA.,Resolved,4,STD22179,Electrical Engineering,3rd,FAC91421,Mechanical Engineering,,,False,0.0,,False,,Recalculated GPA/CGPA and corrected the error.,4,4
